id,name,short_desc_en,short_desc_uk,full_desc_en,full_desc_uk,logo_url,site_url,location_en,location_uk
1,Mad Heads,Stay Mad.,Залишайся божевільним.,Mad Heads Coffee is an independent roastery.,Mad Heads Coffee — це незалежна українська обсмажка.,https://madheadscoffee.com/wp-content/uploads/2021/05/Logo_MH_Black-1.png,https://madheadscoffee.com/,"Kyiv, Kyrylivska st. 69","Київ, вул. Кирилівська 69"
2,3 Champs Roastery,Three Roasting Champions.,Три Чемпіони обсмажування.,3 Champs Roastery is a team of professionals focused on the uniqueness of every lot.,"3 Champs Roastery — це команда професіоналів, що фокусується на винятковості кожного лоту.",https://3champsroastery.com.ua/wp-content/uploads/2021/03/logo-black.png,https://3champsroastery.com.ua/,"Kyiv, Ukraine","Київ, Україна"
